date,ret_1d,ret_2d,ret_5d,ret_10d,ret_21d,rsi,macd,atr,stoch,ultosc,pe,pb,ps,evebitda,marketcap_log,roe,roa,debt_equity,revenue_growth,fcf_yield,close
2022-01-26,0.04755616,-0.00317614,0.03217027,-0.04143151,-0.03354941,48.6394,-7.23987734,18.894032,-16.1824,24.2388,,,,,,,,,,,433.11
2022-01-27,-0.05011198,-0.00493895,-0.06517758,-0.0347182,-0.12420224,44.9313,-7.609404,18.411601,20.9271,10.8763,,,,,,,,,,,411.406
2022-01-27,0.04839259,-0.00414444,0.04059707,-0.03418201,-0.0401507,48.7881,-7.72811391,19.24963,-15.574,18.433,,,,,,,,,,,431.315
2022-01-28,-0.0224685,0.02483678,-0.02961173,0.00906576,-0.10502229,47.0603,-7.82039409,18.887513,-0.3919,9.8465,,,,,,,,,,,421.624
2022-01-28,0.04820883,0.02465715,0.06893733,0.00899523,-0.00274164,50.9814,-7.54915742,18.993119,-27.3976,22.5256,,,,,,,,,,,441.95
2022-01-31,-0.02880869,0.01801131,-0.00898617,0.02289501,-0.07653349,48.5554,-7.25021968,18.384325,4.4889,11.9977,,,,,,,,,,,429.218
2022-01-31,0.04798727,0.01779613,0.09336033,0.02209775,0.01459131,52.4938,-6.60445243,18.575588,-39.5939,26.8741,,,,,,,,,,,449.815
2022-02-01,-0.03934284,0.00675647,0.00186175,0.0425344,-0.06987386,49.0213,-6.04244377,17.72676,17.1972,14.2608,,,,,,,,,,,432.118
2022-02-01,0.04802392,0.00679168,0.07410868,0.04230247,0.03989713,52.9515,-5.21753679,17.994991,-20.7989,31.9262,,,,,,,,,,,452.87
2022-02-02,-0.03655574,0.00971262,-0.01275031,0.05530804,-0.04421687,49.6622,-4.52332677,17.084635,16.3968,15.4245,,,,,,,,,,,436.315
2022-02-02,0.04784387,0.00953916,0.06516968,0.05559789,0.06083212,53.5781,-3.60406869,17.421804,-18.2601,29.3187,,,,,,,,,,,457.19
2022-02-03,-0.06808985,-0.02350366,-0.0528106,0.03561932,-0.05703473,47.6278,-3.08039045,16.997389,48.6546,7.2545,,,,,,,,,,,426.06
2022-02-03,0.04785711,-0.02349133,0.03316687,0.03509036,0.04750553,51.4325,-2.49977469,17.701861,-9.8979,22.639,,,,,,,,,,,446.45
2022-02-04,-0.0411849,0.00470122,-0.05477731,0.0152719,-0.04146402,48.043,-2.20156478,17.076728,18.7202,4.3176,,,,,,,,,,,428.063
2022-02-04,0.048327,0.00515175,0.02850005,0.01538636,0.07398597,51.8849,-1.76092724,17.621748,-25.2882,21.7656,,,,,,,,,,,448.75
2022-02-07,-0.049161,-0.00320981,-0.06671406,-0.00589211,-0.02584644,47.8237,-1.60207463,16.730194,25.7811,2.2122,,,,,,,,,,,426.689
2022-02-07,0.04816389,-0.0033649,0.04971131,-0.00572458,0.06584432,51.6226,-1.296636,17.268823,-20.9472,20.403,,,,,,,,,,,447.24
2022-02-08,-0.03810035,0.00822848,-0.03639825,-0.0044386,-0.02247268,48.4713,-1.18423966,16.513907,14.9037,2.4115,,,,,,,,,,,430.2
2022-02-08,0.04786146,0.00793757,0.05309265,-0.00459293,0.08758275,52.2633,-0.86752993,16.881486,-16.0059,22.2464,,,,,,,,,,,450.79
2022-02-09,-0.03170656,0.01463738,-0.02730474,0.00041713,0.00461921,49.538,-0.66542218,16.182094,34.8754,4.9787,,,,,,,,,,,436.497
2022-02-09,0.04791098,0.01468533,0.07199858,0.0004812,0.10633018,53.3695,-0.2105682,16.547158,-49.5044,24.1519,,,,,,,,,,,457.41
2022-02-10,-0.06286483,-0.01796576,-0.04155487,0.00609069,-0.01028607,47.9756,-0.0794313,16.115933,96.3335,3.0386,,,,,,,,,,,428.655
2022-02-10,0.04834891,-0.01755537,0.04458391,0.00656288,0.09230298,51.7599,0.17276792,17.038009,-29.6128,22.4322,,,,,,,,,,,449.38
2022-02-11,-0.06492946,-0.01971982,-0.06785421,-0.01836412,-0.02576539,46.6185,0.02171422,16.725651,42.6787,2.7274,,,,,,,,,,,420.202
2022-02-11,0.04811495,-0.01993858,0.00898746,-0.01856267,0.04458,50.3022,-0.05165521,17.76939,-24.8285,17.9785,,,,,,,,,,,440.42
2022-02-14,-0.04902593,-0.00326986,-0.08434883,-0.01842325,-0.05231814,46.6035,-0.41685752,16.947291,18.8772,2.1133,,,,,,,,,,,418.828
2022-02-14,0.04790033,-0.00347396,0.02387701,-0.01867007,0.022534,50.2629,-0.62480292,17.36227,-32.3139,17.1601,,,,,,,,,,,438.89
2022-02-15,-0.03031967,0.01612834,-0.05295518,-0.01073222,-0.05387104,47.9172,-0.93416326,16.649965,9.6894,2.6715,,,,,,,,,,,425.583
2022-02-15,0.04795069,0.01617717,0.06137048,-0.01064797,0.03210234,51.6442,-0.96316042,16.938325,-40.6788,20.0985,,,,,,,,,,,445.99
2022-02-16,-0.0446871,0.00112082,-0.03260524,-0.02391082,-0.05920021,48.0294,-1.13068756,16.16523,28.7681,4.1644,,,,,,,,,,,426.06
2022-02-16,0.04839694,0.00154712,0.06649985,-0.02345817,0.02375577,51.7893,-1.04470345,16.572714,-31.5143,23.7558,,,,,,,,,,,446.68
2022-02-17,-0.06653757,-0.02136084,-0.04996924,-0.02728535,-0.08799624,46.5605,-1.27613092,16.121806,57.412,2.8157,,,,,,,,,,,416.959
2022-02-17,0.04801671,-0.02171577,0.02677974,-0.02759357,0.02563019,50.2075,-1.37204209,16.882462,-15.2632,21.0882,,,,,,,,,,,436.98
2022-02-18,-0.05199551,-0.00647546,-0.07114734,-0.0141432,-0.07210438,46.3423,-1.73735958,16.165144,20.3228,1.5217,,,,,,,,,,,414.259
2022-02-18,0.04830553,-0.00620166,0.01926959,-0.01396394,0.0145002,49.9936,-1.92916156,16.751991,-26.4235,18.0574,,,,,,,,,,,434.27
2022-02-22,-0.0563175,-0.01073242,-0.0825356,-0.02152435,-0.08676769,45.884,-2.38795301,16.243991,14.2346,0.0815,,,,,,,,,,,409.813
2022-02-22,0.04823419,-0.01079973,0.03026916,-0.0212126,0.00677543,49.4975,-2.66922412,16.918492,-23.2887,16.8973,,,,,,,,,,,429.58
2022-02-23,-0.06293822,-0.0177398,-0.07880681,-0.0541375,-0.09993963,45.0651,-3.24976006,16.560742,29.5366,-1.6269,,,,,,,,,,,402.543
